======================================================================
BELUGA CHALLENGE - LÖSUNGSPROTOKOLL
======================================================================

Problem: problems/problem_90_s132_j137_r8_oc81_f43.json
Lösungsdatum: 11.08.2025 20:02:37
Anzahl Schritte: 10561/20000
Erfolgreicher Abschluss: Ja
Benötigte Zeit: 5 Min 14.3 Sek

======================================================================
AKTIONSSTATISTIK (NACH OPTIMIERUNG)
======================================================================

left_unstack_rack        : 2076 ( 23.7%)
left_stack_rack          : 2082 ( 23.8%)
unload_beluga            :  114 (  1.3%)
right_unstack_rack       : 2090 ( 23.9%)
right_stack_rack         : 2087 ( 23.8%)
deliver_to_hangar        :  103 (  1.2%)
load_beluga              :  107 (  1.2%)
get_from_hangar          :  102 (  1.2%)

======================================================================
OPTIMIERUNG
======================================================================

Ursprüngliche Anzahl Schritte: 10561
Optimierte Anzahl Schritte: 8761
Optimierung/Reduktion: 17.04%

======================================================================
OPTIMIERTE AKTIONSSEQUENZ
======================================================================

  1: left_unstack_rack         | Parameter: rack=5, trailer=0
132: left_unstack_rack         | Parameter: rack=1, trailer=0
133: right_unstack_rack        | Parameter: rack=1, trailer=1
134: left_stack_rack           | Parameter: rack=4, trailer=0
135: left_unstack_rack         | Parameter: rack=1, trailer_id=0
136: right_unstack_rack        | Parameter: rack=7, trailer=0
137: load_beluga               | Parameter: trailer_beluga=0
138: left_unstack_rack         | Parameter: rack=3, trailer=0
139: right_stack_rack          | Parameter: rack=1, trailer=0
140: left_stack_rack           | Parameter: rack=3, trailer=0
141: left_unstack_rack         | Parameter: rack=0, trailer=0
142: left_stack_rack           | Parameter: rack=4, trailer=0
143: left_unstack_rack         | Parameter: rack=2, trailer=0
144: left_stack_rack           | Parameter: rack=1, trailer=0
145: left_unstack_rack         | Parameter: rack=0, trailer=0
146: left_stack_rack           | Parameter: rack=1, trailer=0
147: left_unstack_rack         | Parameter: rack=6, trailer=0
148: right_unstack_rack        | Parameter: rack=7, trailer=0
149: left_stack_rack           | Parameter: rack=0, trailer=0
150: left_unstack_rack         | Parameter: rack=5, trailer=0
151: right_stack_rack          | Parameter: rack=7, trailer=1
152: left_stack_rack           | Parameter: rack=6, trailer=0
153: left_unstack_rack         | Parameter: rack=3, trailer=0
154: left_stack_rack           | Parameter: rack=6, trailer=0
155: left_unstack_rack         | Parameter: rack=1, trailer=0
156: right_stack_rack          | Parameter: rack=0, trailer=0
157: left_stack_rack           | Parameter: rack=1, trailer=0
158: left_unstack_rack         | Parameter: rack=2, trailer=0
159: right_unstack_rack        | Parameter: rack=0, trailer=0
160: right_stack_rack          | Parameter: rack=6, trailer=2
161: right_stack_rack          | Parameter: rack=6, trailer=0
162: right_unstack_rack        | Parameter: rack=7, trailer=1
163: right_unstack_rack        | Parameter: rack=7, trailer=2
164: right_unstack_rack        | Parameter: rack=6, trailer=0
165: right_stack_rack          | Parameter: rack=3, trailer=1
166: right_stack_rack          | Parameter: rack=7, trailer=0
167: right_unstack_rack        | Parameter: rack=5, trailer=1
168: right_unstack_rack        | Parameter: rack=0, trailer=0
169: right_stack_rack          | Parameter: rack=6, trailer=1
170: right_stack_rack          | Parameter: rack=0, trailer=0
171: right_unstack_rack        | Parameter: rack=4, trailer=0
172: right_stack_rack          | Parameter: rack=2, trailer=0
173: left_stack_rack           | Parameter: rack=3, trailer=0
174: left_unstack_rack         | Parameter: rack=0, trailer=0
175: right_stack_rack          | Parameter: rack=0, trailer=2
176: left_stack_rack           | Parameter: rack=4, trailer=0
177: left_unstack_rack         | Parameter: rack=3, trailer=0
178: left_stack_rack           | Parameter: rack=0, trailer=0
179: left_unstack_rack         | Parameter: rack=3, trailer_id=0
180: left_stack_rack           | Parameter: rack=5, trailer=0
181: left_unstack_rack         | Parameter: rack=2, trailer=0
182: right_unstack_rack        | Parameter: rack=1, trailer=1
183: right_stack_rack          | Parameter: rack=2, trailer=1
184: right_unstack_rack        | Parameter: rack=2, trailer=2
185: right_unstack_rack        | Parameter: rack=5, trailer=0
186: right_stack_rack          | Parameter: rack=2, trailer=0
187: right_stack_rack          | Parameter: rack=5, trailer=2
188: left_stack_rack           | Parameter: rack=2, trailer=0
189: left_unstack_rack         | Parameter: rack=5, trailer_id=0
190: load_beluga               | Parameter: trailer_beluga=0
191: left_unstack_rack         | Parameter: rack=1, trailer=0
192: right_unstack_rack        | Parameter: rack=0, trailer=0
193: left_stack_rack           | Parameter: rack=2, trailer=0
194: left_unstack_rack         | Parameter: rack=1, trailer=0
195: left_stack_rack           | Parameter: rack=0, trailer=0
196: left_unstack_rack         | Parameter: rack=2, trailer=0
197: left_stack_rack           | Parameter: rack=7, trailer=0
198: left_unstack_rack         | Parameter: rack=4, trailer=0
199: left_stack_rack           | Parameter: rack=5, trailer=0
200: left_unstack_rack         | Parameter: rack=7, trailer=0
201: right_unstack_rack        | Parameter: rack=7, trailer=1
202: right_stack_rack          | Parameter: rack=1, trailer=0
203: right_stack_rack          | Parameter: rack=4, trailer=1
204: right_unstack_rack        | Parameter: rack=1, trailer=2
205: left_stack_rack           | Parameter: rack=3, trailer=0
206: left_unstack_rack         | Parameter: rack=6, trailer=0
207: left_stack_rack           | Parameter: rack=1, trailer=0
208: left_unstack_rack         | Parameter: rack=5, trailer=0
209: right_unstack_rack        | Parameter: rack=1, trailer=1
210: right_stack_rack          | Parameter: rack=1, trailer=2
211: right_unstack_rack        | Parameter: rack=4, trailer=2
212: left_stack_rack           | Parameter: rack=4, trailer=0
213: left_unstack_rack         | Parameter: rack=2, trailer=0
214: right_stack_rack          | Parameter: rack=3, trailer=2
215: right_unstack_rack        | Parameter: rack=3, trailer=0
216: right_unstack_rack        | Parameter: rack=1, trailer=2
217: left_stack_rack           | Parameter: rack=2, trailer=0
218: left_unstack_rack         | Parameter: rack=0, trailer=0
219: left_stack_rack           | Parameter: rack=5, trailer=0
220: left_unstack_rack         | Parameter: rack=3, trailer=0
221: right_stack_rack          | Parameter: rack=3, trailer=2
222: right_unstack_rack        | Parameter: rack=5, trailer=2
223: left_stack_rack           | Parameter: rack=7, trailer=0
224: left_unstack_rack         | Parameter: rack=2, trailer=0
225: right_stack_rack          | Parameter: rack=3, trailer=2
226: right_unstack_rack        | Parameter: rack=2, trailer=2
227: left_stack_rack           | Parameter: rack=2, trailer=0
228: left_unstack_rack         | Parameter: rack=5, trailer=0
229: left_stack_rack           | Parameter: rack=0, trailer=0
230: left_unstack_rack         | Parameter: rack=2, trailer=0
231: left_stack_rack           | Parameter: rack=1, trailer=0
232: left_unstack_rack         | Parameter: rack=4, trailer=0
233: right_stack_rack          | Parameter: rack=5, trailer=0
234: right_stack_rack          | Parameter: rack=1, trailer=2
235: right_unstack_rack        | Parameter: rack=7, trailer=2
236: right_unstack_rack        | Parameter: rack=6, trailer=0
237: left_stack_rack           | Parameter: rack=5, trailer=0
238: left_unstack_rack         | Parameter: rack=0, trailer=0
239: right_stack_rack          | Parameter: rack=2, trailer=0
240: right_unstack_rack        | Parameter: rack=4, trailer=0
241: right_stack_rack          | Parameter: rack=2, trailer=0
242: right_stack_rack          | Parameter: rack=4, trailer=2
243: right_unstack_rack        | Parameter: rack=3, trailer=0
244: left_stack_rack           | Parameter: rack=6, trailer=0
245: left_unstack_rack         | Parameter: rack=3, trailer=0
246: right_unstack_rack        | Parameter: rack=1, trailer=2
247: left_stack_rack           | Parameter: rack=1, trailer=0
248: left_unstack_rack         | Parameter: rack=2, trailer=0
249: right_stack_rack          | Parameter: rack=3, trailer=2
250: left_stack_rack           | Parameter: rack=2, trailer=0
251: left_unstack_rack         | Parameter: rack=3, trailer_id=0
252: load_beluga               | Parameter: trailer_beluga=0
253: right_unstack_rack        | Parameter: rack=7, trailer=2
254: unload_beluga             | Parameter: -
255: left_stack_rack           | Parameter: rack=4, trailer=0
256: left_unstack_rack         | Parameter: rack=2, trailer=0
257: left_stack_rack           | Parameter: rack=6, trailer=0
258: right_stack_rack          | Parameter: rack=1, trailer=0
259: left_unstack_rack         | Parameter: rack=0, trailer=0
260: right_unstack_rack        | Parameter: rack=1, trailer=0
261: left_stack_rack           | Parameter: rack=3, trailer=0
262: unload_beluga             | Parameter: -
263: left_stack_rack           | Parameter: rack=3, trailer=0
264: left_unstack_rack         | Parameter: rack=2, trailer=0
265: left_stack_rack           | Parameter: rack=7, trailer=0
266: unload_beluga             | Parameter: -
267: left_stack_rack           | Parameter: rack=2, trailer=0
268: right_stack_rack          | Parameter: rack=0, trailer=0
269: unload_beluga             | Parameter: -
270: left_stack_rack           | Parameter: rack=1, trailer=0
271: right_unstack_rack        | Parameter: rack=4, trailer=0
272: right_stack_rack          | Parameter: rack=1, trailer=2
273: unload_beluga             | Parameter: -
274: left_stack_rack           | Parameter: rack=4, trailer=0
275: unload_beluga             | Parameter: -
276: right_stack_rack          | Parameter: rack=0, trailer=0
277: left_stack_rack           | Parameter: rack=0, trailer=0
278: unload_beluga             | Parameter: -
279: left_stack_rack           | Parameter: rack=4, trailer=0
280: left_unstack_rack         | Parameter: rack=7, trailer=0
281: left_stack_rack           | Parameter: rack=4, trailer=0
282: unload_beluga             | Parameter: -
283: left_stack_rack           | Parameter: rack=7, trailer=0
284: left_unstack_rack         | Parameter: rack=1, trailer=0
285: right_unstack_rack        | Parameter: rack=7, trailer=2
286: right_stack_rack          | Parameter: rack=0, trailer=2
287: right_unstack_rack        | Parameter: rack=6, trailer=2
288: left_stack_rack           | Parameter: rack=1, trailer=0
289: left_unstack_rack         | Parameter: rack=7, trailer=0
290: right_stack_rack          | Parameter: rack=0, trailer=2
291: right_unstack_rack        | Parameter: rack=5, trailer=0
292: left_stack_rack           | Parameter: rack=2, trailer=0
293: left_unstack_rack         | Parameter: rack=1, trailer=0
294: right_unstack_rack        | Parameter: rack=3, trailer=2
295: right_stack_rack          | Parameter: rack=7, trailer=2
296: right_unstack_rack        | Parameter: rack=0, trailer=2
297: left_stack_rack           | Parameter: rack=3, trailer=0
298: left_unstack_rack         | Parameter: rack=5, trailer=0
299: left_stack_rack           | Parameter: rack=3, trailer=0
300: left_unstack_rack         | Parameter: rack=4, trailer=0
301: left_stack_rack           | Parameter: rack=2, trailer=0
302: left_unstack_rack         | Parameter: rack=5, trailer=0
303: right_stack_rack          | Parameter: rack=5, trailer=0
304: right_stack_rack          | Parameter: rack=5, trailer=2
305: right_unstack_rack        | Parameter: rack=3, trailer=0
306: right_stack_rack          | Parameter: rack=4, trailer=0
307: right_unstack_rack        | Parameter: rack=3, trailer=0
308: right_stack_rack          | Parameter: rack=1, trailer=0
309: right_unstack_rack        | Parameter: rack=0, trailer=0
310: right_unstack_rack        | Parameter: rack=3, trailer=2
311: right_stack_rack          | Parameter: rack=0, trailer=0
312: left_stack_rack           | Parameter: rack=3, trailer=0
313: left_unstack_rack         | Parameter: rack=2, trailer=0
314: right_stack_rack          | Parameter: rack=3, trailer=2
315: right_unstack_rack        | Parameter: rack=7, trailer=2
316: right_unstack_rack        | Parameter: rack=6, trailer=0
317: right_stack_rack          | Parameter: rack=0, trailer=0
318: left_stack_rack           | Parameter: rack=2, trailer=0
319: left_unstack_rack         | Parameter: rack=5, trailer=0
320: left_stack_rack           | Parameter: rack=2, trailer=0
321: left_unstack_rack         | Parameter: rack=1, trailer=0
322: right_stack_rack          | Parameter: rack=5, trailer=2
323: right_unstack_rack        | Parameter: rack=6, trailer_id=0
324: left_stack_rack           | Parameter: rack=7, trailer=0
325: left_unstack_rack         | Parameter: rack=1, trailer_id=0
326: deliver_to_hangar         | Parameter: hangar=0, trailer_factory=0
327: get_from_hangar           | Parameter: hangar=0, trailer_factory=0
328: right_stack_rack          | Parameter: rack=3, trailer=0
329: right_unstack_rack        | Parameter: rack=5, trailer_id=0
330: deliver_to_hangar         | Parameter: hangar=0, trailer_factory=0
331: right_unstack_rack        | Parameter: rack=3, trailer=2
332: get_from_hangar           | Parameter: hangar=0, trailer_factory=0
333: load_beluga               | Parameter: trailer_beluga=0
334: left_unstack_rack         | Parameter: rack=2, trailer=0
335: left_stack_rack           | Parameter: rack=7, trailer=0
336: unload_beluga             | Parameter: -
337: right_stack_rack          | Parameter: rack=6, trailer=2
338: left_stack_rack           | Parameter: rack=5, trailer=0
339: left_unstack_rack         | Parameter: rack=4, trailer=0
340: left_stack_rack           | Parameter: rack=1, trailer=0
341: left_unstack_rack         | Parameter: rack=2, trailer=0
342: left_stack_rack           | Parameter: rack=4, trailer=0
343: left_unstack_rack         | Parameter: rack=7, trailer=0
344: right_unstack_rack        | Parameter: rack=6, trailer=2
345: left_stack_rack           | Parameter: rack=3, trailer=0
346: left_unstack_rack         | Parameter: rack=6, trailer_id=0
347: load_beluga               | Parameter: trailer_beluga=0
348: left_unstack_rack         | Parameter: rack=4, trailer=0
349: left_stack_rack           | Parameter: rack=5, trailer=0
350: left_unstack_rack         | Parameter: rack=3, trailer=0
351: left_stack_rack           | Parameter: rack=6, trailer=0
352: left_unstack_rack         | Parameter: rack=3, trailer=0
353: right_stack_rack          | Parameter: rack=6, trailer=0
354: right_unstack_rack        | Parameter: rack=3, trailer=0
355: right_stack_rack          | Parameter: rack=5, trailer=2
356: right_stack_rack          | Parameter: rack=3, trailer=1
357: right_stack_rack          | Parameter: rack=3, trailer=0
358: right_unstack_rack        | Parameter: rack=0, trailer=1
359: right_stack_rack          | Parameter: rack=7, trailer=1
360: right_unstack_rack        | Parameter: rack=4, trailer=1
361: right_stack_rack          | Parameter: rack=0, trailer=1
362: right_unstack_rack        | Parameter: rack=3, trailer=1
363: right_stack_rack          | Parameter: rack=7, trailer=1
364: right_unstack_rack        | Parameter: rack=5, trailer=2
365: right_unstack_rack        | Parameter: rack=6, trailer=0
366: right_stack_rack          | Parameter: rack=3, trailer=2
367: left_stack_rack           | Parameter: rack=6, trailer=0
368: left_unstack_rack         | Parameter: rack=2, trailer=0
369: left_stack_rack           | Parameter: rack=4, trailer=0
370: left_unstack_rack         | Parameter: rack=2, trailer=0
371: right_stack_rack          | Parameter: rack=5, trailer=0
372: right_unstack_rack        | Parameter: rack=7, trailer=1
373: left_stack_rack           | Parameter: rack=3, trailer=0
374: left_unstack_rack         | Parameter: rack=1, trailer=0
375: right_stack_rack          | Parameter: rack=7, trailer=1
376: right_unstack_rack        | Parameter: rack=1, trailer=0
377: right_unstack_rack        | Parameter: rack=5, trailer=2
378: right_stack_rack          | Parameter: rack=3, trailer=0
379: right_stack_rack          | Parameter: rack=2, trailer=2
380: left_stack_rack           | Parameter: rack=3, trailer=0
381: left_unstack_rack         | Parameter: rack=5, trailer=0
382: left_stack_rack           | Parameter: rack=3, trailer=0
383: left_unstack_rack         | Parameter: rack=4, trailer=0
384: right_unstack_rack        | Parameter: rack=5, trailer=0
385: right_unstack_rack        | Parameter: rack=7, trailer=2
386: right_unstack_rack        | Parameter: rack=7, trailer=1
387: right_stack_rack          | Parameter: rack=1, trailer=2
388: left_stack_rack           | Parameter: rack=4, trailer=0
389: left_unstack_rack         | Parameter: rack=1, trailer=0
390: right_unstack_rack        | Parameter: rack=4, trailer=2
391: left_stack_rack           | Parameter: rack=1, trailer=0
392: left_unstack_rack         | Parameter: rack=7, trailer=0
393: right_stack_rack          | Parameter: rack=7, trailer=0
394: left_stack_rack           | Parameter: rack=5, trailer=0
395: left_unstack_rack         | Parameter: rack=3, trailer=0
396: right_unstack_rack        | Parameter: rack=0, trailer=0
397: left_stack_rack           | Parameter: rack=5, trailer=0
398: left_unstack_rack         | Parameter: rack=3, trailer=0
399: left_stack_rack           | Parameter: rack=0, trailer=0
400: left_unstack_rack         | Parameter: rack=3, trailer=0
401: right_stack_rack          | Parameter: rack=3, trailer=2
402: left_stack_rack           | Parameter: rack=3, trailer=0
403: left_unstack_rack         | Parameter: rack=0, trailer=0
404: right_stack_rack          | Parameter: rack=1, trailer=0
405: left_stack_rack           | Parameter: rack=5, trailer=0
406: left_unstack_rack         | Parameter: rack=7, trailer=0
407: right_unstack_rack        | Parameter: rack=6, trailer=0
408: right_unstack_rack        | Parameter: rack=4, trailer=2
409: right_stack_rack          | Parameter: rack=3, trailer=2
410: left_stack_rack           | Parameter: rack=6, trailer=0
411: left_unstack_rack         | Parameter: rack=7, trailer_id=0
412: load_beluga               | Parameter: trailer_beluga=0
413: left_unstack_rack         | Parameter: rack=3, trailer=0
414: right_unstack_rack        | Parameter: rack=4, trailer=2
415: left_stack_rack           | Parameter: rack=3, trailer=0
416: left_unstack_rack         | Parameter: rack=2, trailer=0
417: left_stack_rack           | Parameter: rack=6, trailer=0
418: left_unstack_rack         | Parameter: rack=4, trailer=0
419: right_stack_rack          | Parameter: rack=2, trailer=0
420: right_stack_rack          | Parameter: rack=5, trailer=1
421: right_unstack_rack        | Parameter: rack=2, trailer=1
422: left_stack_rack           | Parameter: rack=5, trailer=0
423: left_unstack_rack         | Parameter: rack=0, trailer=0
424: right_stack_rack          | Parameter: rack=0, trailer=1
425: right_stack_rack          | Parameter: rack=4, trailer=2
426: left_stack_rack           | Parameter: rack=3, trailer=0
427: left_unstack_rack         | Parameter: rack=1, trailer=0
428: right_unstack_rack        | Parameter: rack=1, trailer=2
429: right_unstack_rack        | Parameter: rack=4, trailer=1
430: left_stack_rack           | Parameter: rack=0, trailer=0
431: left_unstack_rack         | Parameter: rack=1, trailer_id=0
432: right_unstack_rack        | Parameter: rack=5, trailer=0
433: right_stack_rack          | Parameter: rack=2, trailer=2
434: load_beluga               | Parameter: trailer_beluga=0
435: right_stack_rack          | Parameter: rack=1, trailer=1
436: right_stack_rack          | Parameter: rack=4, trailer=0
437: right_unstack_rack        | Parameter: rack=3, trailer=1
438: right_stack_rack          | Parameter: rack=7, trailer=1
439: left_unstack_rack         | Parameter: rack=0, trailer=0
440: left_stack_rack           | Parameter: rack=4, trailer=0
441: left_unstack_rack         | Parameter: rack=0, trailer=0
442: left_stack_rack           | Parameter: rack=4, trailer=0
443: unload_beluga             | Parameter: -
444: left_stack_rack           | Parameter: rack=7, trailer=0
445: left_unstack_rack         | Parameter: rack=5, trailer=0
446: left_stack_rack           | Parameter: rack=1, trailer=0
447: left_unstack_rack         | Parameter: rack=4, trailer=0
448: left_stack_rack           | Parameter: rack=7, trailer=0
449: right_unstack_rack        | Parameter: rack=2, trailer=1
450: unload_beluga             | Parameter: -
451: right_unstack_rack        | Parameter: rack=1, trailer=0
452: right_unstack_rack        | Parameter: rack=0, trailer=2
453: right_stack_rack          | Parameter: rack=7, trailer=2
454: right_stack_rack          | Parameter: rack=2, trailer=0
455: right_unstack_rack        | Parameter: rack=6, trailer=0
456: right_unstack_rack        | Parameter: rack=6, trailer=2
457: right_stack_rack          | Parameter: rack=4, trailer=1
458: right_unstack_rack        | Parameter: rack=6, trailer=1
459: left_stack_rack           | Parameter: rack=0, trailer=0
460: left_unstack_rack         | Parameter: rack=3, trailer=0
461: right_stack_rack          | Parameter: rack=0, trailer=1
462: left_stack_rack           | Parameter: rack=2, trailer=0
463: left_unstack_rack         | Parameter: rack=1, trailer=0
464: right_unstack_rack        | Parameter: rack=6, trailer=1
465: left_stack_rack           | Parameter: rack=7, trailer=0
466: right_stack_rack          | Parameter: rack=2, trailer=1
467: left_unstack_rack         | Parameter: rack=7, trailer=0
468: left_stack_rack           | Parameter: rack=5, trailer=0
469: left_unstack_rack         | Parameter: rack=0, trailer=0
470: right_stack_rack          | Parameter: rack=4, trailer=0
471: left_stack_rack           | Parameter: rack=6, trailer=0
472: left_unstack_rack         | Parameter: rack=4, trailer=0
